label	ring	quadrant	team	_id	description	github
Fairness Frameworks	ref-4PTdcpW8i7rxcLKmda4UCB	ref-1z20KYjpB6U1Li0bFMPAIv	ref-EXgm9xr0CCjgXMNYuJWTs	36			
Object-relational mapping (ORM)	ref-4PTdcpW8i7rxcLKmda4UCB	ref-1z20KYjpB6U1Li0bFMPAIv	ref-EXgm9xr0CCjgXMNYuJWTs	37			
Test Driven Development (TDD)	ref-4PTdcpW8i7rxcLKmda4UCB	ref-1z20KYjpB6U1Li0bFMPAIv	ref-EXgm9xr0CCjgXMNYuJWTs	38			
Context Driven Design	ref-4PTdcpW8i7rxcLKmda4UCB	ref-1z20KYjpB6U1Li0bFMPAIv	ref-EXgm9xr0CCjgXMNYuJWTs	39			
Riskstorming	ref-4PTdcpW8i7rxcLKmda4UCB	ref-1z20KYjpB6U1Li0bFMPAIv	ref-EXgm9xr0CCjgXMNYuJWTs	40			
Immutable Infrastructure	ref-4PTdcpW8i7rxcLKmda4UCB	ref-1z20KYjpB6U1Li0bFMPAIv	ref-EXgm9xr0CCjgXMNYuJWTs	41			
Pair Programming	ref-4PTdcpW8i7rxcLKmda4UCB	ref-1z20KYjpB6U1Li0bFMPAIv	ref-EXgm9xr0CCjgXMNYuJWTs	42			
Mob Programming	ref-4PTdcpW8i7rxcLKmda4UCB	ref-1z20KYjpB6U1Li0bFMPAIv	ref-EXgm9xr0CCjgXMNYuJWTs	43			
Serverless Containers	ref-4PTdcpW8i7rxcLKmda4UCB	ref-1z20KYjpB6U1Li0bFMPAIv	ref-EXgm9xr0CCjgXMNYuJWTs	44			
Serverless Functions	ref-4PTdcpW8i7rxcLKmda4UCB	ref-1z20KYjpB6U1Li0bFMPAIv	ref-EXgm9xr0CCjgXMNYuJWTs	45			
Zero Trust Architecture	ref-4PTdcpW8i7rxcLKmda4UCB	ref-1z20KYjpB6U1Li0bFMPAIv	ref-EXgm9xr0CCjgXMNYuJWTs	46			
Trunk Based Development	ref-4PTdcpW8i7rxcLKmda4UCB	ref-1z20KYjpB6U1Li0bFMPAIv	ref-EXgm9xr0CCjgXMNYuJWTs	47			
Mono Repo	ref-4PTdcpW8i7rxcLKmda4UCB	ref-1z20KYjpB6U1Li0bFMPAIv	ref-EXgm9xr0CCjgXMNYuJWTs	48			
Infrastructure as Code Testing	ref-628HJQHinDOMr8BPkvWeAI	ref-1z20KYjpB6U1Li0bFMPAIv	ref-EXgm9xr0CCjgXMNYuJWTs	49			
Behavior Driven Development (BDD)	ref-628HJQHinDOMr8BPkvWeAI	ref-1z20KYjpB6U1Li0bFMPAIv	ref-EXgm9xr0CCjgXMNYuJWTs	50			
MongoDB	ref-4PTdcpW8i7rxcLKmda4UCB	ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	51			
TensorFlow	ref-4PTdcpW8i7rxcLKmda4UCB	ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	52			
Terraform	ref-4PTdcpW8i7rxcLKmda4UCB	ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	53			
Databricks	ref-4PTdcpW8i7rxcLKmda4UCB	ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	54			
Jest	ref-4PTdcpW8i7rxcLKmda4UCB	ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	55			
Random Reviewing	ref-O4flj2hZHHf2nHXaOC8nB	ref-1z20KYjpB6U1Li0bFMPAIv	ref-EXgm9xr0CCjgXMNYuJWTs	56			
Automatic Semantic Versioning	ref-O4flj2hZHHf2nHXaOC8nB	ref-1z20KYjpB6U1Li0bFMPAIv	ref-EXgm9xr0CCjgXMNYuJWTs	57			
Autogenerated Documentation	ref-O4flj2hZHHf2nHXaOC8nB	ref-1z20KYjpB6U1Li0bFMPAIv	ref-EXgm9xr0CCjgXMNYuJWTs	58			
Automated Machine Learning (AutoML)	ref-O4flj2hZHHf2nHXaOC8nB	ref-1z20KYjpB6U1Li0bFMPAIv	ref-EXgm9xr0CCjgXMNYuJWTs	59			
Machine Learning Model Operationalization Management (MLOps)	ref-O4flj2hZHHf2nHXaOC8nB	ref-1z20KYjpB6U1Li0bFMPAIv	ref-EXgm9xr0CCjgXMNYuJWTs	60			
DataOps	ref-O4flj2hZHHf2nHXaOC8nB	ref-1z20KYjpB6U1Li0bFMPAIv	ref-EXgm9xr0CCjgXMNYuJWTs	61			
Production data in test environments	ref-6DH88vXU71Ce3vnjcK2pUD	ref-1z20KYjpB6U1Li0bFMPAIv	ref-EXgm9xr0CCjgXMNYuJWTs	62			
Defaulting to Single Page Application	ref-6DH88vXU71Ce3vnjcK2pUD	ref-1z20KYjpB6U1Li0bFMPAIv	ref-EXgm9xr0CCjgXMNYuJWTs	63			
Swagger	ref-4PTdcpW8i7rxcLKmda4UCB	 ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	64			
Headless CMS	ref-4PTdcpW8i7rxcLKmda4UCB	 ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	65			
Snyk	ref-4PTdcpW8i7rxcLKmda4UCB	 ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	66			
Cypress	ref-4PTdcpW8i7rxcLKmda4UCB	 ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	67			
Liquibase	ref-628HJQHinDOMr8BPkvWeAI	 ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	68			
Kubernetes	ref-628HJQHinDOMr8BPkvWeAI	 ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	69			
Craft CMS	ref-628HJQHinDOMr8BPkvWeAI	 ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	70			
Netlify CMS	ref-628HJQHinDOMr8BPkvWeAI	 ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	71			
PyTorch	ref-628HJQHinDOMr8BPkvWeAI	 ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	72			
Data Pipeline Tools (dpt, Airflow)	ref-O4flj2hZHHf2nHXaOC8nB	 ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	73			
Storybook/ Chromatic	ref-O4flj2hZHHf2nHXaOC8nB	 ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	74			
Prometheus/Grafana	ref-O4flj2hZHHf2nHXaOC8nB	 ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	75			
Grype	ref-O4flj2hZHHf2nHXaOC8nB	 ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	76			
Github Codespaces	ref-O4flj2hZHHf2nHXaOC8nB	 ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	77			
Kubeflow	ref-O4flj2hZHHf2nHXaOC8nB	 ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	78			
Gym 	ref-O4flj2hZHHf2nHXaOC8nB	 ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	79			
Azure DataFactory	ref-O4flj2hZHHf2nHXaOC8nB	 ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	80			
Distributed FileSystems (HDFs, CephFS, GlusterFS)	ref-O4flj2hZHHf2nHXaOC8nB	 ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	81			
Selenium	ref-O4flj2hZHHf2nHXaOC8nB	 ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	82			
Hygen	ref-O4flj2hZHHf2nHXaOC8nB	 ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	83			
Drupal	ref-6DH88vXU71Ce3vnjcK2pUD	 ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	84			
Gatsby 	ref-6DH88vXU71Ce3vnjcK2pUD	 ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	85			
Cloudformation	ref-6DH88vXU71Ce3vnjcK2pUD	 ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	86			
Chef	ref-6DH88vXU71Ce3vnjcK2pUD	 ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	87			
Ansible	ref-6DH88vXU71Ce3vnjcK2pUD	 ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	88			
Notebook Tools (jupyterlab, rstudio)	ref-6DH88vXU71Ce3vnjcK2pUD	 ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	89			
Enzyme	ref-6DH88vXU71Ce3vnjcK2pUD	 ref-B4orjeov7Wv1ID33Vvn4s	ref-EXgm9xr0CCjgXMNYuJWTs	90			
